layer,mean,std,max,energy,spike_score,anomaly_score,flagged
model.layers.9.self_attn.k_proj,0.016059560112383527,2.075441142419974,10.685892943541209,4.448693157856663,5.148730829509616,2.5878573266131197,False
model.layers.21.self_attn.q_proj,-0.13092588384946188,1.9742923617362975,13.491741768519084,3.9194392522176105,6.833706697293323,2.5654992377804535,False
model.layers.23.self_attn.k_proj,-0.049404813384838535,2.042795807123184,9.344531067212422,4.181140279769897,4.574381081186471,2.556058459296877,False
model.layers.23.self_attn.q_proj,0.03347498411700751,1.952329444885254,17.814211289087932,3.8161362608273826,9.124588173973256,2.458663936824732,False
model.layers.13.self_attn.k_proj,0.2641563990774254,1.799085807800293,7.735538021723429,3.391960373024146,4.299702486941981,2.445435269049553,False
model.layers.19.self_attn.k_proj,0.27191547529461485,1.745076650256912,9.829859034220378,3.1968756685654323,5.632906382574562,2.393008756233815,False
model.layers.3.self_attn.q_proj,-0.09723185983796914,1.860342981417974,16.115578413009644,3.4719993193944294,8.662687424465544,2.3914016474400417,False
model.layers.11.self_attn.k_proj,-0.03095150309090968,1.897199217726787,10.642632516225179,3.7210383834627767,5.60965174723473,2.356351076636322,False
model.layers.19.mlp.gate_proj,-0.8219188466668129,1.1025946378707885,24.011308987935383,1.9048492024342218,21.777075986173305,2.332769164642756,False
model.layers.22.self_attn.v_proj,-0.011210943285065392,1.89012460509936,9.7051287651062,3.706778180599213,5.1346475276155115,2.3233598417205017,False
model.layers.20.post_attention_layernorm,0.06898252787068486,1.6296136955420175,57.945525868733725,2.668301796913147,35.55780763836373,2.3210044794876543,False
model.layers.20.mlp.gate_proj,-0.8411825696627299,1.1446425984303157,10.908772563934326,2.0296326021353406,9.530278751302026,2.2840912158195996,False
model.layers.23.post_attention_layernorm,0.029250427106550583,1.7981163362661998,23.111798572540284,3.2784371376037598,12.85333170778057,2.283743794210932,False
model.layers.22.self_attn.k_proj,-0.23799724814792475,1.6915567596753438,8.187741208076478,2.924412814776103,4.840355678808113,2.27039884608896,False
model.layers.20.self_attn.q_proj,0.10672052847221494,1.7556947032610575,12.267078304290772,3.097621508439382,6.987018468807381,2.2420475672652844,False
model.layers.12.self_attn.k_proj,0.08775425292551517,1.7497732510169348,9.10887389977773,3.117581780751546,5.205742337609455,2.201343105393699,False
model.layers.17.mlp.gate_proj,-0.8766299717128276,1.0435493677854537,8.571486608187358,1.8767320767045022,8.213773740866136,2.1899902845773926,False
model.layers.20.self_attn.k_proj,-0.11428519790060818,1.6990028145412603,11.296064201990763,2.9788558594261607,6.6486396942203205,2.177659995326688,False
model.layers.10.self_attn.k_proj,0.013853595066272343,1.7828415056069693,9.634207824865976,3.2564991396541396,5.403846831431702,2.1763834829529727,False
model.layers.14.self_attn.k_proj,-0.04687902072522168,1.7461460560560227,10.58463736375173,3.1216366699586313,6.061710167561132,2.1658058454527187,False
model.layers.23.self_attn.v_proj,-0.02572201909085076,1.7668102463086446,8.733421381314596,3.1981339395046233,4.943041538569057,2.161776074735648,False
model.layers.19.post_attention_layernorm,0.04714881678422292,1.5342746277650197,44.780456352233884,2.358319516976674,29.186709051401415,2.109122486760924,False
model.layers.5.post_attention_layernorm,0.021493029205157655,1.415463771422704,63.66109739939372,2.0235703607400257,44.975402203339215,2.0890678587352562,False
model.layers.17.self_attn.k_proj,-0.07972912676632404,1.6524789184331894,9.104500651359558,2.8089118683710694,5.509598361710838,2.068195215653729,False
model.layers.15.self_attn.k_proj,0.06449688189507773,1.656696124126514,9.74681517680486,2.8202751481284696,5.883281279880187,2.0620533336332403,False
model.layers.21.self_attn.v_proj,-0.04116695875612398,1.6740434795618058,10.067589370409648,2.852591367562612,6.013931823988881,2.06060889331408,False
model.layers.2.mlp.up_proj,-0.005031512165442109,0.6388104816277822,87.48230857849121,0.43706360707680386,136.94542301521238,2.057002584653029,False
